107,0
2921,146191,0
2922,146241,0
2923,146291,0
2924,146341,0
2925,146391,0
2926,146440,0
2927,146491,0
2928,146542,0
2929,146592,0
2930,146641,0
2931,146691,0
2932,146741,0
2933,146791,0
2934,146841,0
2935,146891,0
2936,146941,0
2937,146992,0
2938,147042,0
2939,147091,0
2940,147141,0
2941,147191,0
2942,147241,0
2943,147291,0
2944,147342,0
2945,147392,0
2946,147441,0
2947,147491,0
2948,147542,0
2949,147591,0
2950,147641,0
2951,147693,0
2952,147742,0
2953,147792,0
2954,147841,0
2955,147892,0
2956,147942,0
2957,147992,0
2958,148042,0
2959,148092,0
2960,148142,0
2961,148191,0
2962,148241,0
2963,148292,0
2964,148343,0
2965,148392,0
2966,148442,0
2967,148493,0
2968,148542,0
2969,148592,0
2970,148642,0
2971,148692,0
2972,148743,0
2973,148792,0
2974,148843,0
2975,148893,0
2976,148942,0
2977,148992,0
2978,149044,0
2979,149093,0
2980,149143,0
2981,149193,0
2982,149244,0
2983,149292,0
2984,149343,0
2985,149393,0
2986,149443,0
2987,149493,0
2988,149544,0
2989,149593,0
2990,149644,0
2991,149693,0
2992,149743,0
2993,149793,0
2994,149844,0
2995,149894,0
2996,149944,0
2997,149994,0
2998,150044,0
2999,150093,0
3000,150144,0
3001,150194,0
3002,150244,0
3003,150294,0
3004,150344,0
3005,150396,0
3006,150443,0
3007,150493,0
3008,150544,0
3009,150594,0
3010,150644,0
3011,150694,0
3012,150744,0
3013,150793,0
3014,150844,0
3015,150894,0
3016,150944,0
3017,150994,0
3018,151045,0
3019,151094,0
3020,151145,0
3021,151194,0
3022,151244,0
3023,151294,0
3024,151344,0
3025,151394,0
3026,151445,0
3027,151495,0
3028,151544,0
3029,151594,0
3030,151644,0
3031,151695,0
3032,151744,0
3033,151796,0
3034,151845,0
3035,151896,0
3036,151944,0
3037,151996,0
3038,152046,0
3039,152095,0
3040,152145,0
3041,152195,0
3042,152245,0
3043,152295,0
3044,152345,0
3045,152395,0
3046,152445,0
3047,152495,0
3048,152545,0
3049,152595,0
3050,152645,0
3051,152695,0
3052,152744,0
3053,152795,0
3054,152845,0
3055,152895,0
3056,152946,0
3057,152996,0
3058,153045,0
3059,153095,0
3060,153145,0
3061,153196,0
3062,153246,0
3063,153295,0
3064,153346,0
3065,153396,0
3066,153445,0
3067,153495,0
3068,153546,0
3069,153596,0
3070,153646,0
3071,153696,0
3072,153746,0
3073,153795,0
3074,153846,0
3075,153896,0
3076,153946,0
3077,153996,0
3078,154047,0
3079,154096,0
3080,154147,0
3081,154196,0
3082,154246,0
3083,154296,0
3084,154346,0
3085,154396,0
3086,154446,0
3087,154497,0
3088,154546,0
3089,154596,0
3090,154646,0
3091,154697,0
3092,154747,0
3093,154797,0
3094,154847,0
3095,154896,0
3096,154946,0
3097,154997,0
3098,155047,0
3099,155097,0
3100,155147,0
3101,155197,0
3102,155247,0
3103,155296,0
3104,155347,0
3105,155397,0
3106,155447,0
3107,155498,0
3108,155548,0
3109,155597,0
3110,155646,0
3111,155696,0
3112,155747,0
3113,155797,0
3114,155848,0
3115,155898,0
3116,155948,0
3117,155998,0
3118,156048,0
3119,156097,0
3120,156147,0
3121,156198,0
3122,156247,0
3123,156298,0
3124,156348,0
3125,156397,0
3126,156447,0
3127,156497,0
3128,156548,0
3129,156597,0
3130,156648,0
3131,156698,0
3132,156748,0
3133,156798,0
3134,156848,0
3135,156898,0
3136,156948,0
3137,156998,0
3138,157050,0
3139,157098,0
3140,157147,0
3141,157201,0
3142,157249,0
3143,157299,0
3144,157348,0
3145,157399,0
3146,157449,0
3147,157500,0
3148,157548,0
3149,157598,0
3150,157649,0
3151,157698,0
3152,157749,0
3153,157799,0
3154,157849,0
3155,157899,0
3156,157949,0
3157,157999,0
3158,158050,0
